_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
108	offrir	offert	offrant	avoir	s'offrir	offre	offres	offre	offrons	offrez	offrent	offrais	offrais	offrait	offrions	offriez	offraient	offris	offris	offrit	offrîmes	offrîtes	offrirent	offrirai	offriras	offrira	offrirons	offrirez	offriront	ai offert	as offert	a offert	avons offert	avez offert	ont offert	avais offert	avais offert	avait offert	avions offert	aviez offert	avaient offert	eus offert	eus offert	eut offert	eûmes offert	eûtes offert	eurent offert	aurai offert	auras offert	aura offert	aurons offert	aurez offert	auront offert	offre	offres	offre	offrions	offriez	offrent	offrisse	offrisses	offrît	offrissions	offrissiez	offrissent	aie offert	aies offert	ait offert	ayons offert	ayez offert	aient offert	eusse offert	eusses offert	eût offert	eussions offert	eussiez offert	eussent offert	offrirais	offrirais	offrirait	offririons	offririez	offriraient	aurais offert	aurais offert	aurait offert	aurions offert	auriez offert	auraient offert	eusse offert	eusses offert	eût offert	eussions offert	eussiez offert	eussent offert		aie offert !		ayons offert !	ayez offert !	
109	organiser	organisé	organisant	avoir		organise	organises	organise	organisons	organisez	organisent	organisais	organisais	organisait	organisions	organisiez	organisaient	organisai	organisas	organisa	organisâmes	organisâtes	organisèrent	organiserai	organiseras	organisera	organiserons	organiserez	organiseront	ai organisé	as organisé	a organisé	avons organisé	avez organisé	ont organisé	avais organisé	avais organisé	avait organisé	avions organisé	aviez organisé	avaient organisé	eus organisé	eus organisé	eut organisé	eûmes organisé	eûtes organisé	eurent organisé	aurai organisé	auras organisé	aura organisé	aurons organisé	aurez organisé	auront organisé	organise	organises	organise	organisions	organisiez	organisent							aie organisé	aies organisé	ait organisé	ayons organisé	ayez organisé	aient organisé	eusse organisé	eusses organisé	eût organisé	eussions organisé	eussiez organisé	eussent organisé	organiserais	organiserais	organiserait	organiserions	organiseriez	organiseraient	aurais organisé	aurais organisé	aurait organisé	aurions organisé	auriez organisé	auraient organisé	eusse organisé	eusses organisé	eût organisé	eussions organisé	eussiez organisé	eussent organisé						
110	oublier	oublié	oubliant	avoir	s'oublier	oublie	oublies	oublie	oublions	oubliez	oublient	oubliais	oubliais	oubliait	oubliions	oubliiez	oubliaient	oubliai	oublias	oublia	oubliâmes	oubliâtes	oublièrent	oublierai	oublieras	oubliera	oublierons	oublierez	oublieront	ai oublié	as oublié	a oublié	avons oublié	avez oublié	ont oublié	avais oublié	avais oublié	avait oublié	avions oublié	aviez oublié	avaient oublié	eus oublié	eus oublié	eut oublié	eûmes oublié	eûtes oublié	eurent oublié	aurai oublié	auras oublié	aura oublié	aurons oublié	aurez oublié	auront oublié	oublie	oublies	oublie	oubliions	oubliiez	oublient	oubliasse	oubliasses	oubliât	oubliassions	oubliassiez	oubliassent	aie oublié	aies oublié	ait oublié	ayons oublié	ayez oublié	aient oublié	eusse oublié	eusses oublié	eût oublié	eussions oublié	eussiez oublié	eussent oublié	oublierais	oublierais	oublierait	oublierions	oublieriez	oublieraient	aurais oublié	aurais oublié	aurait oublié	aurions oublié	auriez oublié	auraient oublié	eusse oublié	eusses oublié	eût oublié	eussions oublié	eussiez oublié	eussent oublié		aie oublié !		ayons oublié !	ayez oublié !	
111	ouvrir	ouvert	ouvrant	avoir	s'ouvrir	ouvre	ouvres	ouvre	ouvrons	ouvrez	ouvrent	ouvrais	ouvrais	ouvrait	ouvrions	ouvriez	ouvraient	ouvris	ouvris	ouvrit	ouvrîmes	ouvrîtes	ouvrirent	ouvrirai	ouvriras	ouvrira	ouvrirons	ouvrirez	ouvriront	ai ouvert	as ouvert	a ouvert	avons ouvert	avez ouvert	ont ouvert	avais ouvert	avais ouvert	avait ouvert	avions ouvert	aviez ouvert	avaient ouvert	eus ouvert	eus ouvert	eut ouvert	eûmes ouvert	eûtes ouvert	eurent ouvert	aurai ouvert	auras ouvert	aura ouvert	aurons ouvert	aurez ouvert	auront ouvert	ouvre	ouvres	ouvre	ouvrions	ouvriez	ouvrent	ouvrisse	ouvrisses	ouvrît	ouvrissions	ouvrissiez	ouvrissent	aie ouvert	aies ouvert	ait ouvert	ayons ouvert	ayez ouvert	aient ouvert	eusse ouvert	eusses ouvert	eût ouvert	eussions ouvert	eussiez ouvert	eussent ouvert	ouvrirais	ouvrirais	ouvrirait	ouvririons	ouvririez	ouvriraient	aurais ouvert	aurais ouvert	aurait ouvert	aurions ouvert	auriez ouvert	auraient ouvert	eusse ouvert	eusses ouvert	eût ouvert	eussions ouvert	eussiez ouvert	eussent ouvert		aie ouvert !		ayons ouvert !	ayez ouvert !	
112	parler	parlé	parlant	avoir	se parler	parle	parles	parle	parlons	parlez	parlent	parlais	parlais	parlait	parlions	parliez	parlaient	parlai	parlas	parla	parlâmes	parlâtes	parlèrent	parlerai	parleras	parlera	parlerons	parlerez	parleront	ai parlé	as parlé	a parlé	avons parlé	avez parlé	ont parlé	avais parlé	avais parlé	avait parlé	avions parlé	aviez parlé	avaient parlé	eus parlé	eus parlé	eut parlé	eûmes parlé	eûtes parlé	eurent parlé	aurai parlé	auras parlé	aura parlé	aurons parlé	aurez parlé	auront parlé	parle	parles	parle	parlions	parliez	parlent	parlasse	parlasses	parlât	parlassions	parlassiez	parlassent	aie parlé	aies parlé	ait parlé	ayons parlé	ayez parlé	aient parlé	eusse parlé	eusses parlé	eût parlé	eussions parlé	eussiez parlé	eussent parlé	parlerais	parlerais	parlerait	parlerions	parleriez	parleraient	aurais parlé	aurais parlé	aurait parlé	aurions parlé	auriez parlé	auraient parlé	eusse parlé	eusses parlé	eût parlé	eussions parlé	eussiez parlé	eussent parlé		aie parlé !		ayons parlé !	ayez parlé !	
113	partager	partagé	partageant	avoir	se partager	partage	partages	partage	partageons	partagez	partagent	partageais	partageais	partageait	partagions	partagiez	partageaient	partageai	partageas	partagea	partageâmes	partageâtes	partagèrent	partagerai	partageras	partagera	partagerons	partagerez	partageront	ai partagé	as partagé	a partagé	avons partagé	avez partagé	ont partagé	avais partagé	avais partagé	avait partagé	avions partagé	aviez partagé	avaient partagé	eus partagé	eus partagé	eut partagé	eûmes partagé	eûtes partagé	eurent partagé	aurai partagé	auras partagé	aura partagé	aurons partagé	aurez partagé	auront partagé	partage	partages	partage	partagions	partagiez	partagent	partageasse	partageasses	partageât	partageassions	partageassiez	partageassent	aie partagé	aies partagé	ait partagé	ayons partagé	ayez partagé	aient partagé	eusse partagé	eusses partagé	eût partagé	eussions partagé	eussiez partagé	eussent partagé	partagerais	partagerais	partagerait	partagerions	partageriez	partageraient	aurais partagé	aurais partagé	aurait partagé	aurions partagé	auriez partagé	auraient partagé	eusse partagé	eusses partagé	eût partagé	eussions partagé	eussiez partagé	eussent partagé		aie partagé !		ayons partagé !	ayez partagé !	
114	partir	parti	partant	être		pars	pars	part	partons	partez	partent	partais	partais	partait	partions	partiez	partaient	partis	partis	partit	partîmes	partîtes	partirent	partirai	partiras	partira	partirons	partirez	partiront	suis parti(e)	es parti(e)	est parti(e)	sommes parti(e)s	êtes parti(e)(s)	sont parti(e)s	étais parti(e)	étais parti(e)	était parti(e)	étions parti(e)s	étiez parti(e)(s)	étaient parti(e)s	fus parti(e)	fus parti(e)	fut parti(e)	fûmes parti(e)s	fûtes parti(e)(s)	furent parti(e)s	serai parti(e)	seras parti(e)	sera parti(e)	serons parti(e)s	serez parti(e)(s)	seront parti(e)s	parte	partes	parte	partions	partiez	partent	partisse	partisses	partît	partissions	partissiez	partissent	sois parti(e)	sois parti(e)	soit parti(e)	soyons parti(e)s	soyez parti(e)(s)	soient parti(e)s	fusse parti(e)	fusses parti(e)	fût parti(e)	fussions parti(e)s	fussiez parti(e)(s)	fussent parti(e)s	partirais	partirais	partirait	partirions	partiriez	partiraient	serais parti(e)	serais parti(e)	serait parti(e)	serions parti(e)s	seriez parti(e)(s)	seraient parti(e)s	fusse parti(e)	fusses parti(e)	fût parti(e)	fussions parti(e)s	fussiez parti(e)(s)	fussent parti(e)s		sois parti(e) !		soyons parti(e)s !	soyez parti(e)(s) !	
115	passer	passé	passant	être	se passer	passe	passes	passe	passons	passez	passent	passais	passais	passait	passions	passiez	passaient	passai	passas	passa	passâmes	passâtes	passèrent	passerai	passeras	passera	passerons	passerez	passeront	suis passé(e)	es passé(e)	est passé(e)	sommes passé(e)s	êtes passé(e)(s)	sont passé(e)s	étais passé(e)	étais passé(e)	était passé(e)	étions passé(e)s	étiez passé(e)(s)	étaient passé(e)s	fus passé(e)	fus passé(e)	fut passé(e)	fûmes passé(e)s	fûtes passé(e)(s)	furent passé(e)s	serai passé(e)	seras passé(e)	sera passé(e)	serons passé(e)s	serez passé(e)(s)	seront passé(e)s	passe	passes	passe	passions	passiez	passent	passasse	passasses	passât	passassions	passassiez	passassent	sois passé(e)	sois passé(e)	soit passé(e)	soyons passé(e)s	soyez passé(e)(s)	soient passé(e)s	fusse passé(e)	fusses passé(e)	fût passé(e)	fussions passé(e)s	fussiez passé(e)(s)	fussent passé(e)s	passerais	passerais	passerait	passerions	passeriez	passeraient	serais passé(e)	serais passé(e)	serait passé(e)	serions passé(e)s	seriez passé(e)(s)	seraient passé(e)s	fusse passé(e)	fusses passé(e)	fût passé(e)	fussions passé(e)s	fussiez passé(e)(s)	fussent passé(e)s		sois passé(e) !		soyons passé(e)s !	soyez passé(e)(s) !	
116	payer	payé	payant	avoir	se payer	paie, paye	paies, payes	paie, paye	payons	payez	paient, payent	payais	payais	payait	payions	payiez	payaient	payai	payas	paya	payâmes	payâtes	payèrent	paierai, payerai	paieras, payeras	paiera, payera	paierons, payerons	paierez, payerez	paieront, payeront	ai payé	as payé	a payé	avons payé	avez payé	ont payé	avais payé	avais payé	avait payé	avions payé	aviez payé	avaient payé	eus payé	eus payé	eut payé	eûmes payé	eûtes payé	eurent payé	aurai payé	auras payé	aura payé	aurons payé	aurez payé	auront payé	paie, paye	paies, payes	paie, paye	payions	payiez	paient, payent	payasse	payasses	payât	payassions	payassiez	payassent	aie payé	aies payé	ait payé	ayons payé	ayez payé	aient payé	eusse payé	eusses payé	eût payé	eussions payé	eussiez payé	eussent payé	paierais, payerais	paierais, payerais	paierait, payerait	paierions, payerions	paieriez, payeriez	paieraient, payeraient	aurais payé	aurais payé	aurait payé	aurions payé	auriez payé	auraient payé	eusse payé	eusses payé	eût payé	eussions payé	eussiez payé	eussent payé		aie payé !		ayons payé !	ayez payé !	
117	penser	pensé	pensant	avoir	se penser	pense	penses	pense	pensons	pensez	pensent	pensais	pensais	pensait	pensions	pensiez	pensaient	pensai	pensas	pensa	pensâmes	pensâtes	pensèrent	penserai	penseras	pensera	penserons	penserez	penseront	ai pensé	as pensé	a pensé	avons pensé	avez pensé	ont pensé	avais pensé	avais pensé	avait pensé	avions pensé	aviez pensé	avaient pensé	eus pensé	eus pensé	eut pensé	eûmes pensé	eûtes pensé	eurent pensé	aurai pensé	auras pensé	aura pensé	aurons pensé	aurez pensé	auront pensé	pense	penses	pense	pensions	pensiez	pensent	pensasse	pensasses	pensât	pensassions	pensassiez	pensassent	aie pensé	aies pensé	ait pensé	ayons pensé	ayez pensé	aient pensé	eusse pensé	eusses pensé	eût pensé	eussions pensé	eussiez pensé	eussent pensé	penserais	penserais	penserait	penserions	penseriez	penseraient	aurais pensé	aurais pensé	aurait pensé	aurions pensé	auriez pensé	auraient pensé	eusse pensé	eusses pensé	eût pensé	eussions pensé	eussiez pensé	eussent pensé		aie pensé !		ayons pensé !	ayez pensé !	
