_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
1	accepter	accepté	acceptant	avoir	s'accepter	accepte	acceptes	accepte	acceptons	acceptez	acceptent	acceptais	acceptais	acceptait	acceptions	acceptiez	acceptaient	acceptai	acceptas	accepta	acceptâmes	acceptâtes	acceptèrent	accepterai	accepteras	acceptera	accepterons	accepterez	accepteront	ai accepté	as accepté	a accepté	avons accepté	avez accepté	ont accepté	avais accepté	avais accepté	avait accepté	avions accepté	aviez accepté	avaient accepté	eus accepté	eus accepté	eut accepté	eûmes accepté	eûtes accepté	eurent accepté	aurai accepté	auras accepté	aura accepté	aurons accepté	aurez accepté	auront accepté	accepte	acceptes	accepte	acceptions	acceptiez	acceptent	acceptasse	acceptasses	acceptât	acceptassions	acceptassiez	acceptassent	aie accepté	aies accepté	ait accepté	ayons accepté	ayez accepté	aient accepté	eusse accepté	eusses accepté	eût accepté	eussions accepté	eussiez accepté	eussent accepté	accepterais	accepterais	accepterait	accepterions	accepteriez	accepteraient	aurais accepté	aurais accepté	aurait accepté	aurions accepté	auriez accepté	auraient accepté	eusse accepté	eusses accepté	eût accepté	eussions accepté	eussiez accepté	eussent accepté		aie accepté !		ayons accepté !	ayez accepté !	
2	acheter	acheté	achetant	avoir	s'acheter	achète	achètes	achète	achetons	achetez	achètent	achetais	achetais	achetait	achetions	achetiez	achetaient	achetai	achetas	acheta	achetâmes	achetâtes	achetèrent	achèterai	achèteras	achètera	achèterons	achèterez	achèteront	ai acheté	as acheté	a acheté	avons acheté	avez acheté	ont acheté	avais acheté	avais acheté	avait acheté	avions acheté	aviez acheté	avaient acheté	eus acheté	eus acheté	eut acheté	eûmes acheté	eûtes acheté	eurent acheté	aurai acheté	auras acheté	aura acheté	aurons acheté	aurez acheté	auront acheté	achète	achètes	achète	achetions	achetiez	achètent	achetasse	achetasses	achetât	achetassions	achetassiez	achetassent	aie acheté	aies acheté	ait acheté	ayons acheté	ayez acheté	aient acheté	eusse acheté	eusses acheté	eût acheté	eussions acheté	eussiez acheté	eussent acheté	achèterais	achèterais	achèterait	achèterions	achèteriez	achèteraient	aurais acheté	aurais acheté	aurait acheté	aurions acheté	auriez acheté	auraient acheté	eusse acheté	eusses acheté	eût acheté	eussions acheté	eussiez acheté	eussent acheté		aie acheté !		ayons acheté !	ayez acheté !	
3	adorer	adoré	adorant	avoir		adore	adores	adore	adorons	adorez	adorent	adorais	adorais	adorait	adorions	adoriez	adoraient	adorai	adoras	adora	adorâmes	adorâtes	adorèrent	adorerai	adoreras	adorera	adorerons	adorerez	adoreront	ai adoré	as adoré	a adoré	avons adoré	avez adoré	ont adoré	avais adoré	avais adoré	avait adoré	avions adoré	aviez adoré	avaient adoré	eus adoré	eus adoré	eut adoré	eûmes adoré	eûtes adoré	eurent adoré	aurai adoré	auras adoré	aura adoré	aurons adoré	aurez adoré	auront adoré	adore	adores	adore	adorions	adoriez	adorent							aie adoré	aies adoré	ait adoré	ayons adoré	ayez adoré	aient adoré	eusse adoré	eusses adoré	eût adoré	eussions adoré	eussiez adoré	eussent adoré	adorerais	adorerais	adorerait	adorerions	adoreriez	adoreraient	aurais adoré	aurais adoré	aurait adoré	aurions adoré	auriez adoré	auraient adoré	eusse adoré	eusses adoré	eût adoré	eussions adoré	eussiez adoré	eussent adoré						
4	aider	aidé	aidant	avoir	s'aider	aide	aides	aide	aidons	aidez	aident	aidais	aidais	aidait	aidions	aidiez	aidaient	aidai	aidas	aida	aidâmes	aidâtes	aidèrent	aiderai	aideras	aidera	aiderons	aiderez	aideront	ai aidé	as aidé	a aidé	avons aidé	avez aidé	ont aidé	avais aidé	avais aidé	avait aidé	avions aidé	aviez aidé	avaient aidé	eus aidé	eus aidé	eut aidé	eûmes aidé	eûtes aidé	eurent aidé	aurai aidé	auras aidé	aura aidé	aurons aidé	aurez aidé	auront aidé	aide	aides	aide	aidions	aidiez	aident	aidasse	aidasses	aidât	aidassions	aidassiez	aidassent	aie aidé	aies aidé	ait aidé	ayons aidé	ayez aidé	aient aidé	eusse aidé	eusses aidé	eût aidé	eussions aidé	eussiez aidé	eussent aidé	aiderais	aiderais	aiderait	aiderions	aideriez	aideraient	aurais aidé	aurais aidé	aurait aidé	aurions aidé	auriez aidé	auraient aidé	eusse aidé	eusses aidé	eût aidé	eussions aidé	eussiez aidé	eussent aidé		aie aidé !		ayons aidé !	ayez aidé !	
5	aimer	aimé	aimant	avoir	s'aimer	aime	aimes	aime	aimons	aimez	aiment	aimais	aimais	aimait	aimions	aimiez	aimaient	aimai	aimas	aima	aimâmes	aimâtes	aimèrent	aimerai	aimeras	aimera	aimerons	aimerez	aimeront	ai aimé	as aimé	a aimé	avons aimé	avez aimé	ont aimé	avais aimé	avais aimé	avait aimé	avions aimé	aviez aimé	avaient aimé	eus aimé	eus aimé	eut aimé	eûmes aimé	eûtes aimé	eurent aimé	aurai aimé	auras aimé	aura aimé	aurons aimé	aurez aimé	auront aimé	aime	aimes	aime	aimions	aimiez	aiment	aimasse	aimasses	aimât	aimassions	aimassiez	aimassent	aie aimé	aies aimé	ait aimé	ayons aimé	ayez aimé	aient aimé	eusse aimé	eusses aimé	eût aimé	eussions aimé	eussiez aimé	eussent aimé	aimerais	aimerais	aimerait	aimerions	aimeriez	aimeraient	aurais aimé	aurais aimé	aurait aimé	aurions aimé	auriez aimé	auraient aimé	eusse aimé	eusses aimé	eût aimé	eussions aimé	eussiez aimé	eussent aimé		aie aimé !		ayons aimé !	ayez aimé !	
6	ajouter	ajouté	ajoutant	avoir	s'ajouter	ajoute	ajoutes	ajoute	ajoutons	ajoutez	ajoutent	ajoutais	ajoutais	ajoutait	ajoutions	ajoutiez	ajoutaient	ajoutai	ajoutas	ajouta	ajoutâmes	ajoutâtes	ajoutèrent	ajouterai	ajouteras	ajoutera	ajouterons	ajouterez	ajouteront	ai ajouté	as ajouté	a ajouté	avons ajouté	avez ajouté	ont ajouté	avais ajouté	avais ajouté	avait ajouté	avions ajouté	aviez ajouté	avaient ajouté	eus ajouté	eus ajouté	eut ajouté	eûmes ajouté	eûtes ajouté	eurent ajouté	aurai ajouté	auras ajouté	aura ajouté	aurons ajouté	aurez ajouté	auront ajouté	ajoute	ajoutes	ajoute	ajoutions	ajoutiez	ajoutent	ajoutasse	ajoutasses	ajoutât	ajoutassions	ajoutassiez	ajoutassent	aie ajouté	aies ajouté	ait ajouté	ayons ajouté	ayez ajouté	aient ajouté	eusse ajouté	eusses ajouté	eût ajouté	eussions ajouté	eussiez ajouté	eussent ajouté	ajouterais	ajouterais	ajouterait	ajouterions	ajouteriez	ajouteraient	aurais ajouté	aurais ajouté	aurait ajouté	aurions ajouté	auriez ajouté	auraient ajouté	eusse ajouté	eusses ajouté	eût ajouté	eussions ajouté	eussiez ajouté	eussent ajouté		aie ajouté !		ayons ajouté !	ayez ajouté !	
7	aller	allé	allant	être		vais	vas	va	allons	allez	vont	allais	allais	allait	allions	alliez	allaient	allai	allas	alla	allâmes	allâtes	allèrent	irai	iras	ira	irons	irez	iront	suis allé(e)	es allé(e)	est allé(e)	sommes allé(e)s	êtes allé(e)(s)	sont allé(e)s	étais allé(e)	étais allé(e)	était allé(e)	étions allé(e)s	étiez allé(e)(s)	étaient allé(e)s	fus allé(e)	fus allé(e)	fut allé(e)	fûmes allé(e)s	fûtes allé(e)(s)	furent allé(e)s	serai allé(e)	seras allé(e)	sera allé(e)	serons allé(e)s	serez allé(e)(s)	seront allé(e)s	aille	ailles	aille	allions	alliez	aillent	allasse	allasses	allât	allassions	allassiez	allassent	sois allé(e)	sois allé(e)	soit allé(e)	soyons allé(e)s	soyez allé(e)(s)	soient allé(e)s	fusse allé(e)	fusses allé(e)	fût allé(e)	fussions allé(e)s	fussiez allé(e)(s)	fussent allé(e)s	irais	irais	irait	irions	iriez	iraient	serais allé(e)	serais allé(e)	serait allé(e)	serions allé(e)s	seriez allé(e)(s)	seraient allé(e)s	fusse allé(e)	fusses allé(e)	fût allé(e)	fussions allé(e)s	fussiez allé(e)(s)	fussent allé(e)s		sois allé(e) !		soyons allé(e)s !	soyez allé(e)(s) !	
8	allumer	allumé	allumant	avoir	s'allumer	allume	allumes	allume	allumons	allumez	allument	allumais	allumais	allumait	allumions	allumiez	allumaient	allumai	allumas	alluma	allumâmes	allumâtes	allumèrent	allumerai	allumeras	allumera	allumerons	allumerez	allumeront	ai allumé	as allumé	a allumé	avons allumé	avez allumé	ont allumé	avais allumé	avais allumé	avait allumé	avions allumé	aviez allumé	avaient allumé	eus allumé	eus allumé	eut allumé	eûmes allumé	eûtes allumé	eurent allumé	aurai allumé	auras allumé	aura allumé	aurons allumé	aurez allumé	auront allumé	allume	allumes	allume	allumions	allumiez	allument	allumasse	allumasses	allumât	allumassions	allumassiez	allumassent	aie allumé	aies allumé	ait allumé	ayons allumé	ayez allumé	aient allumé	eusse allumé	eusses allumé	eût allumé	eussions allumé	eussiez allumé	eussent allumé	allumerais	allumerais	allumerait	allumerions	allumeriez	allumeraient	aurais allumé	aurais allumé	aurait allumé	aurions allumé	auriez allumé	auraient allumé	eusse allumé	eusses allumé	eût allumé	eussions allumé	eussiez allumé	eussent allumé		aie allumé !		ayons allumé !	ayez allumé !	
9	améliorer	amélioré	améliorant	avoir		améliore	améliores	améliore	améliorons	améliorez	améliorent	améliorais	améliorais	améliorait	améliorions	amélioriez	amélioraient	améliorai	amélioras	améliora	améliorâmes	améliorâtes	améliorèrent	améliorerai	amélioreras	améliorera	améliorerons	améliorerez	amélioreront	ai amélioré	as amélioré	a amélioré	avons amélioré	avez amélioré	ont amélioré	avais amélioré	avais amélioré	avait amélioré	avions amélioré	aviez amélioré	avaient amélioré	eus amélioré	eus amélioré	eut amélioré	eûmes amélioré	eûtes amélioré	eurent amélioré	aurai amélioré	auras amélioré	aura amélioré	aurons amélioré	aurez amélioré	auront amélioré	améliore	améliores	améliore	améliorions	amélioriez	améliorent							aie amélioré	aies amélioré	ait amélioré	ayons amélioré	ayez amélioré	aient amélioré	eusse amélioré	eusses amélioré	eût amélioré	eussions amélioré	eussiez amélioré	eussent amélioré	améliorerais	améliorerais	améliorerait	améliorerions	amélioreriez	amélioreraient	aurais amélioré	aurais amélioré	aurait amélioré	aurions amélioré	auriez amélioré	auraient amélioré	eusse amélioré	eusses amélioré	eût amélioré	eussions amélioré	eussiez amélioré	eussent amélioré						
10	amener	amené	amenant	avoir	s'amener	amène	amènes	amène	amenons	amenez	amènent	amenais	amenais	amenait	amenions	ameniez	amenaient	amenai	amenas	amena	amenâmes	amenâtes	amenèrent	amènerai	amèneras	amènera	amènerons	amènerez	amèneront	ai amené	as amené	a amené	avons amené	avez amené	ont amené	avais amené	avais amené	avait amené	avions amené	aviez amené	avaient amené	eus amené	eus amené	eut amené	eûmes amené	eûtes amené	eurent amené	aurai amené	auras amené	aura amené	aurons amené	aurez amené	auront amené	amène	amènes	amène	amenions	ameniez	amènent	amenasse	amenasses	amenât	amenassions	amenassiez	amenassent	aie amené	aies amené	ait amené	ayons amené	ayez amené	aient amené	eusse amené	eusses amené	eût amené	eussions amené	eussiez amené	eussent amené	amènerais	amènerais	amènerait	amènerions	amèneriez	amèneraient	aurais amené	aurais amené	aurait amené	aurions amené	auriez amené	auraient amené	eusse amené	eusses amené	eût amené	eussions amené	eussiez amené	eussent amené		aie amené !		ayons amené !	ayez amené !	
11	annuler	annulé	annulant	avoir		annule	annules	annule	annulons	annulez	annulent	annulais	annulais	annulait	annulions	annuliez	annulaient	annulai	annulas	annula	annulâmes	annulâtes	annulèrent	annulerai	annuleras	annulera	annulerons	annulerez	annuleront	ai annulé	as annulé	a annulé	avons annulé	avez annulé	ont annulé	avais annulé	avais annulé	avait annulé	avions annulé	aviez annulé	avaient annulé	eus annulé	eus annulé	eut annulé	eûmes annulé	eûtes annulé	eurent annulé	aurai annulé	auras annulé	aura annulé	aurons annulé	aurez annulé	auront annulé	annule	annules	annule	annulions	annuliez	annulent							aie annulé	aies annulé	ait annulé	ayons annulé	ayez annulé	aient annulé	eusse annulé	eusses annulé	eût annulé	eussions annulé	eussiez annulé	eussent annulé	annulerais	annulerais	annulerait	annulerions	annuleriez	annuleraient	aurais annulé	aurais annulé	aurait annulé	aurions annulé	auriez annulé	auraient annulé	eusse annulé	eusses annulé	eût annulé	eussions annulé	eussiez annulé	eussent annulé						
12	appeler	appelé	appelant	avoir	s'appeler	appelle	appelles	appelle	appelons	appelez	appellent	appelais	appelais	appelait	appelions	appeliez	appelaient	appelai	appelas	appela	appelâmes	appelâtes	appelèrent	appellerai	appelleras	appellera	appellerons	appellerez	appelleront	ai appelé	as appelé	a appelé	avons appelé	avez appelé	ont appelé	avais appelé	avais appelé	avait appelé	avions appelé	aviez appelé	avaient appelé	eus appelé	eus appelé	eut appelé	eûmes appelé	eûtes appelé	eurent appelé	aurai appelé	auras appelé	aura appelé	aurons appelé	aurez appelé	auront appelé	appelle	appelles	appelle	appelions	appeliez	appellent	appelasse	appelasses	appelât	appelassions	appelassiez	appelassent	aie appelé	aies appelé	ait appelé	ayons appelé	ayez appelé	aient appelé	eusse appelé	eusses appelé	eût appelé	eussions appelé	eussiez appelé	eussent appelé	appellerais	appellerais	appellerait	appellerions	appelleriez	appelleraient	aurais appelé	aurais appelé	aurait appelé	aurions appelé	auriez appelé	auraient appelé	eusse appelé	eusses appelé	eût appelé	eussions appelé	eussiez appelé	eussent appelé		aie appelé !		ayons appelé !	ayez appelé !	
13	apprendre	appris	apprenant	avoir	s'apprendre	apprends	apprends	apprend	apprenons	apprenez	apprennent	apprenais	apprenais	apprenait	apprenions	appreniez	apprenaient	appris	appris	apprit	apprîmes	apprîtes	apprirent	apprendrai	apprendras	apprendra	apprendrons	apprendrez	apprendront	ai appris	as appris	a appris	avons appris	avez appris	ont appris	avais appris	avais appris	avait appris	avions appris	aviez appris	avaient appris	eus appris	eus appris	eut appris	eûmes appris	eûtes appris	eurent appris	aurai appris	auras appris	aura appris	aurons appris	aurez appris	auront appris	apprenne	apprennes	apprenne	apprenions	appreniez	apprennent	apprisse	apprisses	apprît	apprissions	apprissiez	apprissent	aie appris	aies appris	ait appris	ayons appris	ayez appris	aient appris	eusse appris	eusses appris	eût appris	eussions appris	eussiez appris	eussent appris	apprendrais	apprendrais	apprendrait	apprendrions	apprendriez	apprendraient	aurais appris	aurais appris	aurait appris	aurions appris	auriez appris	auraient appris	eusse appris	eusses appris	eût appris	eussions appris	eussiez appris	eussent appris		aie appris !		ayons appris !	ayez appris !	
14	arrêter	arrêté	arrêtant	avoir	s'arrêter	arrête	arrêtes	arrête	arrêtons	arrêtez	arrêtent	arrêtais	arrêtais	arrêtait	arrêtions	arrêtiez	arrêtaient	arrêtai	arrêtas	arrêta	arrêtâmes	arrêtâtes	arrêtèrent	arrêterai	arrêteras	arrêtera	arrêterons	arrêterez	arrêteront	ai arrêté	as arrêté	a arrêté	avons arrêté	avez arrêté	ont arrêté	avais arrêté	avais arrêté	avait arrêté	avions arrêté	aviez arrêté	avaient arrêté	eus arrêté	eus arrêté	eut arrêté	eûmes arrêté	eûtes arrêté	eurent arrêté	aurai arrêté	auras arrêté	aura arrêté	aurons arrêté	aurez arrêté	auront arrêté	arrête	arrêtes	arrête	arrêtions	arrêtiez	arrêtent	arrêtasse	arrêtasses	arrêtât	arrêtassions	arrêtassiez	arrêtassent	aie arrêté	aies arrêté	ait arrêté	ayons arrêté	ayez arrêté	aient arrêté	eusse arrêté	eusses arrêté	eût arrêté	eussions arrêté	eussiez arrêté	eussent arrêté	arrêterais	arrêterais	arrêterait	arrêterions	arrêteriez	arrêteraient	aurais arrêté	aurais arrêté	aurait arrêté	aurions arrêté	auriez arrêté	auraient arrêté	eusse arrêté	eusses arrêté	eût arrêté	eussions arrêté	eussiez arrêté	eussent arrêté		aie arrêté !		ayons arrêté !	ayez arrêté !	
15	arriver	arrivé	arrivant	être		arrive	arrives	arrive	arrivons	arrivez	arrivent	arrivais	arrivais	arrivait	arrivions	arriviez	arrivaient	arrivai	arrivas	arriva	arrivâmes	arrivâtes	arrivèrent	arriverai	arriveras	arrivera	arriverons	arriverez	arriveront	suis arrivé(e)	es arrivé(e)	est arrivé(e)	sommes arrivé(e)s	êtes arrivé(e)(s)	sont arrivé(e)s	étais arrivé(e)	étais arrivé(e)	était arrivé(e)	étions arrivé(e)s	étiez arrivé(e)(s)	étaient arrivé(e)s	fus arrivé(e)	fus arrivé(e)	fut arrivé(e)	fûmes arrivé(e)s	fûtes arrivé(e)(s)	furent arrivé(e)s	serai arrivé(e)	seras arrivé(e)	sera arrivé(e)	serons arrivé(e)s	serez arrivé(e)(s)	seront arrivé(e)s	arrive	arrives	arrive	arrivions	arriviez	arrivent	arrivasse	arrivasses	arrivât	arrivassions	arrivassiez	arrivassent	sois arrivé(e)	sois arrivé(e)	soit arrivé(e)	soyons arrivé(e)s	soyez arrivé(e)(s)	soient arrivé(e)s	fusse arrivé(e)	fusses arrivé(e)	fût arrivé(e)	fussions arrivé(e)s	fussiez arrivé(e)(s)	fussent arrivé(e)s	arriverais	arriverais	arriverait	arriverions	arriveriez	arriveraient	serais arrivé(e)	serais arrivé(e)	serait arrivé(e)	serions arrivé(e)s	seriez arrivé(e)(s)	seraient arrivé(e)s	fusse arrivé(e)	fusses arrivé(e)	fût arrivé(e)	fussions arrivé(e)s	fussiez arrivé(e)(s)	fussent arrivé(e)s		sois arrivé(e) !		soyons arrivé(e)s !	soyez arrivé(e)(s) !	
16	attendre	attendu	attendant	avoir	s'attendre	attends	attends	attend	attendons	attendez	attendent	attendais	attendais	attendait	attendions	attendiez	attendaient	attendis	attendis	attendit	attendîmes	attendîtes	attendirent	attendrai	attendras	attendra	attendrons	attendrez	attendront	ai attendu	as attendu	a attendu	avons attendu	avez attendu	ont attendu	avais attendu	avais attendu	avait attendu	avions attendu	aviez attendu	avaient attendu	eus attendu	eus attendu	eut attendu	eûmes attendu	eûtes attendu	eurent attendu	aurai attendu	auras attendu	aura attendu	aurons attendu	aurez attendu	auront attendu	attende	attendes	attende	attendions	attendiez	attendent	attendisse	attendisses	attendît	attendissions	attendissiez	attendissent	aie attendu	aies attendu	ait attendu	ayons attendu	ayez attendu	aient attendu	eusse attendu	eusses attendu	eût attendu	eussions attendu	eussiez attendu	eussent attendu	attendrais	attendrais	attendrait	attendrions	attendriez	attendraient	aurais attendu	aurais attendu	aurait attendu	aurions attendu	auriez attendu	auraient attendu	eusse attendu	eusses attendu	eût attendu	eussions attendu	eussiez attendu	eussent attendu		aie attendu !		ayons attendu !	ayez attendu !	
17	attraper	attrapé	attrapant	avoir		attrape	attrapes	attrape	attrapons	attrapez	attrapent	attrapais	attrapais	attrapait	attrapions	attrapiez	attrapaient	attrapai	attrapas	attrapa	attrapâmes	attrapâtes	attrapèrent	attraperai	attraperas	attrapera	attraperons	attraperez	attraperont	ai attrapé	as attrapé	a attrapé	avons attrapé	avez attrapé	ont attrapé	avais attrapé	avais attrapé	avait attrapé	avions attrapé	aviez attrapé	avaient attrapé	eus attrapé	eus attrapé	eut attrapé	eûmes attrapé	eûtes attrapé	eurent attrapé	aurai attrapé	auras attrapé	aura attrapé	aurons attrapé	aurez attrapé	auront attrapé	attrape	attrapes	attrape	attrapions	attrapiez	attrapent							aie attrapé	aies attrapé	ait attrapé	ayons attrapé	ayez attrapé	aient attrapé	eusse attrapé	eusses attrapé	eût attrapé	eussions attrapé	eussiez attrapé	eussent attrapé	attraperais	attraperais	attraperait	attraperions	attraperiez	attraperaient	aurais attrapé	aurais attrapé	aurait attrapé	aurions attrapé	auriez attrapé	auraient attrapé	eusse attrapé	eusses attrapé	eût attrapé	eussions attrapé	eussiez attrapé	eussent attrapé						
18	augmenter	augmenté	augmentant	avoir		augmente	augmentes	augmente	augmentons	augmentez	augmentent	augmentais	augmentais	augmentait	augmentions	augmentiez	augmentaient	augmentai	augmentas	augmenta	augmentâmes	augmentâtes	augmentèrent	augmenterai	augmenteras	augmentera	augmenterons	augmenterez	augmenteront	ai augmenté	as augmenté	a augmenté	avons augmenté	avez augmenté	ont augmenté	avais augmenté	avais augmenté	avait augmenté	avions augmenté	aviez augmenté	avaient augmenté	eus augmenté	eus augmenté	eut augmenté	eûmes augmenté	eûtes augmenté	eurent augmenté	aurai augmenté	auras augmenté	aura augmenté	aurons augmenté	aurez augmenté	auront augmenté	augmente	augmentes	augmente	augmentions	augmentiez	augmentent							aie augmenté	aies augmenté	ait augmenté	ayons augmenté	ayez augmenté	aient augmenté	eusse augmenté	eusses augmenté	eût augmenté	eussions augmenté	eussiez augmenté	eussent augmenté	augmenterais	augmenterais	augmenterait	augmenterions	augmenteriez	augmenteraient	aurais augmenté	aurais augmenté	aurait augmenté	aurions augmenté	auriez augmenté	auraient augmenté	eusse augmenté	eusses augmenté	eût augmenté	eussions augmenté	eussiez augmenté	eussent augmenté						
19	avoir	eu	ayant	avoir		ai	as	a	avons	avez	ont	avais	avais	avait	avions	aviez	avaient	eus	eus	eut	eûmes	eûtes	eurent	aurai	auras	aura	aurons	aurez	auront	ai eu	as eu	a eu	avons eu	avez eu	ont eu	avais eu	avais eu	avait eu	avions eu	aviez eu	avaient eu	eus eu	eus eu	eut eu	eûmes eu	eûtes eu	eurent eu	aurai eu	auras eu	aura eu	aurons eu	aurez eu	auront eu	aie	aies	ait	ayons	ayez	aient	eusse	eusses	eût	eussions	eussiez	eussent	aie eu	aies eu	ait eu	ayons eu	ayez eu	aient eu	eusse eu	eusses eu	eût eu	eussions eu	eussiez eu	eussent eu	aurais	aurais	aurait	aurions	auriez	auraient	aurais eu	aurais eu	aurait eu	aurions eu	auriez eu	auraient eu	eusse eu	eusses eu	eût eu	eussions eu	eussiez eu	eussent eu		aie eu !		ayons eu !	ayez eu !	
20	boire	bu	buvant	avoir	se boire	bois	bois	boit	buvons	buvez	boivent	buvais	buvais	buvait	buvions	buviez	buvaient	bus	bus	but	bûmes	bûtes	burent	boirai	boiras	boira	boirons	boirez	boiront	ai bu	as bu	a bu	avons bu	avez bu	ont bu	avais bu	avais bu	avait bu	avions bu	aviez bu	avaient bu	eus bu	eus bu	eut bu	eûmes bu	eûtes bu	eurent bu	aurai bu	auras bu	aura bu	aurons bu	aurez bu	auront bu	boive	boives	boive	buvions	buviez	boivent	busse	busses	bût	bussions	bussiez	bussent	aie bu	aies bu	ait bu	ayons bu	ayez bu	aient bu	eusse bu	eusses bu	eût bu	eussions bu	eussiez bu	eussent bu	boirais	boirais	boirait	boirions	boiriez	boiraient	aurais bu	aurais bu	aurait bu	aurions bu	auriez bu	auraient bu	eusse bu	eusses bu	eût bu	eussions bu	eussiez bu	eussent bu		aie bu !		ayons bu !	ayez bu !	
21	bouger	bougé	bougant	avoir		bouge	bouges	bouge	bougons	bougez	bougent	bougais	bougais	bougait	bougions	bougiez	bougaient	bougai	bougas	bouga	bougeâmes	bougeâtes	bougèrent	bougerai	bougeras	bougera	bougerons	bougerez	bougeront	ai bougé	as bougé	a bougé	avons bougé	avez bougé	ont bougé	avais bougé	avais bougé	avait bougé	avions bougé	aviez bougé	avaient bougé	eus bougé	eus bougé	eut bougé	eûmes bougé	eûtes bougé	eurent bougé	aurai bougé	auras bougé	aura bougé	aurons bougé	aurez bougé	auront bougé	bouge	bouges	bouge	bougions	bougiez	bougent							aie bougé	aies bougé	ait bougé	ayons bougé	ayez bougé	aient bougé	eusse bougé	eusses bougé	eût bougé	eussions bougé	eussiez bougé	eussent bougé	bougerais	bougerais	bougerait	bougerions	bougeriez	bougeraient	aurais bougé	aurais bougé	aurait bougé	aurions bougé	auriez bougé	auraient bougé	eusse bougé	eusses bougé	eût bougé	eussions bougé	eussiez bougé	eussent bougé						
22	brosser	brossé	brossant	avoir		brosse	brosses	brosse	brossons	brossez	brossent	brossais	brossais	brossait	brossions	brossiez	brossaient	brossai	brossas	brossa	brossâmes	brossâtes	brossèrent	brosserai	brosseras	brossera	brosserons	brosserez	brosseront	ai brossé	as brossé	a brossé	avons brossé	avez brossé	ont brossé	avais brossé	avais brossé	avait brossé	avions brossé	aviez brossé	avaient brossé	eus brossé	eus brossé	eut brossé	eûmes brossé	eûtes brossé	eurent brossé	aurai brossé	auras brossé	aura brossé	aurons brossé	aurez brossé	auront brossé	brosse	brosses	brosse	brossions	brossiez	brossent							aie brossé	aies brossé	ait brossé	ayons brossé	ayez brossé	aient brossé	eusse brossé	eusses brossé	eût brossé	eussions brossé	eussiez brossé	eussent brossé	brosserais	brosserais	brosserait	brosserions	brosseriez	brosseraient	aurais brossé	aurais brossé	aurait brossé	aurions brossé	auriez brossé	auraient brossé	eusse brossé	eusses brossé	eût brossé	eussions brossé	eussiez brossé	eussent brossé						
23	casser	cassé	cassant	avoir	se casser	casse	casses	casse	cassons	cassez	cassent	cassais	cassais	cassait	cassions	cassiez	cassaient	cassai	cassas	cassa	cassâmes	cassâtes	cassèrent	casserai	casseras	cassera	casserons	casserez	casseront	ai cassé	as cassé	a cassé	avons cassé	avez cassé	ont cassé	avais cassé	avais cassé	avait cassé	avions cassé	aviez cassé	avaient cassé	eus cassé	eus cassé	eut cassé	eûmes cassé	eûtes cassé	eurent cassé	aurai cassé	auras cassé	aura cassé	aurons cassé	aurez cassé	auront cassé	casse	casses	casse	cassions	cassiez	cassent	cassasse	cassasses	cassât	cassassions	cassassiez	cassassent	aie cassé	aies cassé	ait cassé	ayons cassé	ayez cassé	aient cassé	eusse cassé	eusses cassé	eût cassé	eussions cassé	eussiez cassé	eussent cassé	casserais	casserais	casserait	casserions	casseriez	casseraient	aurais cassé	aurais cassé	aurait cassé	aurions cassé	auriez cassé	auraient cassé	eusse cassé	eusses cassé	eût cassé	eussions cassé	eussiez cassé	eussent cassé		aie cassé !		ayons cassé !	ayez cassé !	
